2025/04/06 19:35:086757 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81605]at fd=5state=0 - TcpConnection.cc:58
2025/04/06 19:35:086768 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:086774 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:086777 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086788 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:086792 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81608]from %s127.0.0.1:39804 - TcpServer.cc:75
2025/04/06 19:35:086800 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81608]at fd=16 - TcpConnection.cc:52
2025/04/06 19:35:086810 INFO  func =>fd16events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086817 INFO  HTTP Connection UP: 127.0.0.1:39804 - main.cc:96
2025/04/06 19:35:086822 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086828 INFO  TcpConnection::handleClose fd=13state=3 - TcpConnection.cc:241
2025/04/06 19:35:086831 INFO  func =>fd13events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086835 INFO  HTTP Connection DOWN: 127.0.0.1:39782 - main.cc:98
2025/04/06 19:35:086840 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81606 - TcpServer.cc:114
2025/04/06 19:35:086847 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086911 INFO  removeChannel fd=13 - EPollPoller.cc:102
2025/04/06 19:35:086919 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81606]at fd=13state=0 - TcpConnection.cc:58
2025/04/06 19:35:086930 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:086935 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:086938 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086949 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:086952 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81609]from %s127.0.0.1:39814 - TcpServer.cc:75
2025/04/06 19:35:086960 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81609]at fd=13 - TcpConnection.cc:52
2025/04/06 19:35:086970 INFO  func =>fd13events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086977 INFO  HTTP Connection UP: 127.0.0.1:39814 - main.cc:96
2025/04/06 19:35:086981 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086988 INFO  TcpConnection::handleClose fd=14state=3 - TcpConnection.cc:241
2025/04/06 19:35:086991 INFO  func =>fd14events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086995 INFO  HTTP Connection DOWN: 127.0.0.1:39792 - main.cc:98
2025/04/06 19:35:087000 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81607 - TcpServer.cc:114
2025/04/06 19:35:087007 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:087064 INFO  removeChannel fd=14 - EPollPoller.cc:102
2025/04/06 19:35:087072 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81607]at fd=14state=0 - TcpConnection.cc:58
2025/04/06 19:35:087083 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:087088 INFO  events happend3 - EPollPoller.cc:40
